Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-356,350,2962.5088688868886,0.7510371208190918
350-357,350,2517.476789678968,0.736264705657959
350-358,350,2185.210489048905,0.6675713062286377
350-359,350,3224.738271604938,0.7483432292938232
350-360,350,1754.1327759072205,0.7572071552276611
350-361,350,2702.088916891689,0.7713809013366699
350-362,350,2700.6136633663364,0.35101866722106934
350-363,350,2593.214173417342,0.7532258033752441
350-364,350,3587.9690666666665,0.7295658588409424
350-365,350,inf,0.6121289730072021
350-366,350,3097.862850285029,0.7484908103942871
350-367,350,3107.748753245695,0.3169441223144531
350-368,350,3568.169866666667,0.7220361232757568
350-369,350,2237.527794779478,0.7630026340484619
350-370,350,2972.1561596159618,0.7652726173400879
350-371,350,647.6434143414342,0.7698779106140137
350-372,350,1921.0353879462018,0.717411994934082
350-373,350,1832.5342634263427,0.7468509674072266
350-374,350,2709.8617281728175,0.7373964786529541
350-375,350,2327.1704170417042,0.8018758296966553
350-376,350,inf,0.5969119071960449
350-377,350,1514.1763374485597,0.7369849681854248
350-378,350,5069.47267489712,0.7086620330810547
350-379,350,1215.2628502850284,0.7500300407409668
350-380,350,1637.4042666666667,0.7200326919555664
350-381,350,3353.995385538554,0.7350168228149414
350-382,350,3616.5779237923794,0.6116549968719482
350-383,350,2903.669780978098,0.736774206161499
350-384,350,2048.0552415241523,0.8413066864013672
350-385,350,2577.914190946502,0.7428305149078369
350-386,350,2320.8836303630364,0.5487236976623535
350-387,350,3020.08,0.7501111030578613
350-388,350,inf,0.5942695140838623
350-389,350,3585.481770177018,0.22379636764526367
350-390,350,2477.0227338659793,0.7107498645782471
350-391,350,2077.3096669666966,0.4151155948638916
350-392,350,2752.0202666666664,0.7660901546478271
350-393,350,2289.8234563456344,0.7171390056610107
350-394,350,3842.1482716049386,0.3495209217071533
350-395,350,2403.0422802280227,0.7505195140838623
350-396,350,2956.4402340234024,0.732471227645874
350-397,350,3697.9576177617764,0.7307276725769043
350-398,350,3848.142796279628,0.7452044486999512
350-399,350,3279.1672967296727,0.7175953388214111
350-400,350,3012.502178217822,0.5957248210906982
350-401,350,3415.0117491749174,0.7281358242034912
350-402,350,3134.6322712271226,0.73238205909729
350-403,350,2440.5983127572017,0.7242209911346436
350-404,350,2874.6572817281726,0.7444820404052734
350-405,350,2466.973525352535,0.7225408554077148
350-406,350,2156.612627892419,0.786470890045166
350-407,350,3098.3709333333336,0.7325088977813721
350-408,350,2233.837401740174,0.6545994281768799
350-409,350,2339.8637333333336,0.7387962341308594
350-410,350,1599.3631609086833,0.744741678237915
350-411,350,3975.9981158115816,0.7198333740234375
350-412,350,3500.5914491449143,0.7369093894958496
350-413,350,2541.7894629462944,0.7203869819641113
350-414,350,3852.1187158715875,0.7803013324737549
350-415,350,4008.1954564715734,0.759932279586792
350-416,350,2744.091917671767,0.35694241523742676
350-417,350,2799.20596459646,0.733025074005127
350-418,350,1679.721092109211,0.7641544342041016
350-419,350,2915.820798079808,0.7822275161743164
350-420,350,2402.2737953795377,0.7370073795318604
350-421,350,3249.3741614161418,0.4778096675872803
350-422,350,2139.312913291329,0.7521152496337891
350-423,350,2429.543564356436,0.7825906276702881
350-424,350,3674.1305811692278,0.8298439979553223
350-425,350,2384.557515751575,0.7304363250732422
350-426,350,2876.881698169817,0.7525660991668701
350-427,350,2966.72,0.747969388961792
350-428,350,2572.774395439544,0.7487611770629883
350-429,350,2565.805508550855,0.7466065883636475
350-430,350,2829.9819381938196,0.7221977710723877
350-431,350,1533.0736,0.7143173217773438
350-432,350,2155.1638223822383,0.3316357135772705
350-433,350,2172.065952261893,0.5798234939575195
350-434,350,2546.895385538554,0.7846488952636719
350-435,350,992.6442666666667,0.7432513236999512
350-436,350,2927.2235343534358,0.733940839767456
350-437,350,2416.1237333333333,0.7197210788726807
350-438,350,1742.0447824782477,0.7270083427429199
350-439,350,4335.160658436214,0.7303106784820557
350-440,350,3278.750606986624,0.7168178558349609
350-441,350,3256.809794238683,0.811431884765625
350-442,350,3071.0019681968197,0.7264142036437988
350-443,350,2764.5854125412543,0.7741079330444336
350-444,350,1712.6253825382537,0.7884166240692139
350-445,350,3435.481333333333,0.7447612285614014
350-446,350,2297.2920492049207,0.7464127540588379
350-447,350,1853.2893333333336,0.7647998332977295
350-448,350,2854.883390339034,0.7388255596160889
350-449,350,2100.4459405940593,0.7262561321258545
350-450,350,1511.6733333333334,0.6882638931274414
350-451,350,1945.7571257125712,0.7463109493255615
350-452,350,3573.473004115226,0.7340409755706787
350-453,350,2725.5055505550554,0.7356986999511719
350-454,350,3825.9873147314734,0.34195423126220703
